model_uid,model_source,model_name,weights
devtimm_dm_nfnet_f5_dm_in1k,timm,dm_nfnet_f5,dm_in1k
devtimm_dm_nfnet_f6_dm_in1k,timm,dm_nfnet_f6,dm_in1k
devtimm_dpn68,timm,dpn68,
devtimm_dpn68b,timm,dpn68b,
devtimm_dpn92,timm,dpn92,
devtimm_dpn98,timm,dpn98,
devtimm_dpn107,timm,dpn107,
devtimm_dpn131,timm,dpn131,
devtimm_eca_botnext26ts_256,timm,eca_botnext26ts_256,
devtimm_eca_halonext26ts,timm,eca_halonext26ts,
devtimm_eca_nfnet_l0_ra2_in1k,timm,eca_nfnet_l0,ra2_in1k
devtimm_eca_nfnet_l1_ra2_in1k,timm,eca_nfnet_l1,ra2_in1k
devtimm_eca_nfnet_l2_ra3_in1k,timm,eca_nfnet_l2,ra3_in1k
devtimm_eca_resnet33ts_ra2_in1k,timm,eca_resnet33ts,ra2_in1k
devtimm_eca_resnext26ts_ch_in1k,timm,eca_resnext26ts,ch_in1k
devtimm_ecaresnet26t,timm,ecaresnet26t,
devtimm_ecaresnet50d,timm,ecaresnet50d,
devtimm_ecaresnet50d_pruned,timm,ecaresnet50d_pruned,
devtimm_ecaresnet50t,timm,ecaresnet50t,
devtimm_ecaresnet101d,timm,ecaresnet101d,
devtimm_ecaresnet101d_pruned,timm,ecaresnet101d_pruned,
devtimm_ecaresnet269d,timm,ecaresnet269d,
devtimm_ecaresnetlight,timm,ecaresnetlight,
devtimm_edgenext_base,timm,edgenext_base,
devtimm_edgenext_small,timm,edgenext_small,
devtimm_edgenext_small_rw,timm,edgenext_small_rw,
devtimm_edgenext_x_small,timm,edgenext_x_small,
devtimm_edgenext_xx_small,timm,edgenext_xx_small,
devtimm_efficientformer_l1_snap_dist_in1k,timm,efficientformer_l1,snap_dist_in1k
devtimm_efficientformer_l3_snap_dist_in1k,timm,efficientformer_l3,snap_dist_in1k
devtimm_efficientformer_l7_snap_dist_in1k,timm,efficientformer_l7,snap_dist_in1k
devtimm_efficientformerv2_l_snap_dist_in1k,timm,efficientformerv2_l,snap_dist_in1k
devtimm_efficientformerv2_s0_snap_dist_in1k,timm,efficientformerv2_s0,snap_dist_in1k
devtimm_efficientformerv2_s1_snap_dist_in1k,timm,efficientformerv2_s1,snap_dist_in1k
devtimm_efficientformerv2_s2_snap_dist_in1k,timm,efficientformerv2_s2,snap_dist_in1k
devtimm_efficientnet_b0_ra_in1k,timm,efficientnet_b0,ra_in1k
devtimm_efficientnet_b1_ft_in1k,timm,efficientnet_b1,ft_in1k
devtimm_efficientnet_b1_pruned_in1k,timm,efficientnet_b1_pruned,in1k
devtimm_efficientnet_b2_ra_in1k,timm,efficientnet_b2,ra_in1k
devtimm_efficientnet_b2_pruned_in1k,timm,efficientnet_b2_pruned,in1k
devtimm_efficientnet_b3_ra2_in1k,timm,efficientnet_b3,ra2_in1k
devtimm_efficientnet_b3_pruned_in1k,timm,efficientnet_b3_pruned,in1k
devtimm_efficientnet_b4_ra2_in1k,timm,efficientnet_b4,ra2_in1k
devtimm_efficientnet_b5_in12k,timm,efficientnet_b5,in12k
devtimm_efficientnet_b5_in12k_ft_in1k,timm,efficientnet_b5,in12k_ft_in1k
devtimm_efficientnet_el_ra_in1k,timm,efficientnet_el,ra_in1k
devtimm_efficientnet_el_pruned_in1k,timm,efficientnet_el_pruned,in1k
devtimm_efficientnet_em_ra2_in1k,timm,efficientnet_em,ra2_in1k
devtimm_efficientnet_es_ra_in1k,timm,efficientnet_es,ra_in1k
devtimm_efficientnet_es_pruned_in1k,timm,efficientnet_es_pruned,in1k
devtimm_efficientnet_lite0_ra_in1k,timm,efficientnet_lite0,ra_in1k
devtimm_efficientnetv2_rw_m_agc_in1k,timm,efficientnetv2_rw_m,agc_in1k
devtimm_efficientnetv2_rw_s_ra2_in1k,timm,efficientnetv2_rw_s,ra2_in1k
devtimm_efficientnetv2_rw_t_ra2_in1k,timm,efficientnetv2_rw_t,ra2_in1k
devtimm_ens_adv_inception_resnet_v2,timm,ens_adv_inception_resnet_v2,
devtimm_ese_vovnet19b_dw,timm,ese_vovnet19b_dw,
devtimm_ese_vovnet39b,timm,ese_vovnet39b,
devtimm_eva_giant_patch14_224_clip_ft_in1k,timm,eva_giant_patch14_224,clip_ft_in1k
